waypoint_name,sq_id,line_id,corner,lat,lon,collection_date,notes
38D,38,,D,68.015528,24.144947,2026-09-14,
38C,38,,C,68.0154,24.14481,2026-09-14,
38B,38,,B,68.015329,24.144953,2026-09-14,
38A,38,,A,68.015549,24.146634,2026-09-14,
42D,,,,68.015731,24.146634,2026-09-14,
42C,,,,68.015731,24.147005,2026-09-14,
42B,,,,68.01583,24.146983,2026-09-14,
42A,,,,68.01583,24.146983,2026-09-14,
43D,,,,68.016664,24.148692,2026-09-14,
43C,,,,68.01664,24.148692,2026-09-14,
43B,,,,68.016729,24.14875,2026-09-14,
43A,,,,68.016781,24.148397,2026-09-14,
43D,,,,68.01664,24.148448,2026-09-14,
43C,,,,68.01664,24.148692,2026-09-14,
43B,,,,68.016729,24.14875,2026-09-14,
43A,,,,68.01781,24.148397,2026-09-14,
41D,,,,68.016927,24.147663,2026-09-14,
41C,,,,68.016983,24.147493,2026-09-14,
40B,,,,68.016825,24.14727,2026-09-14,
41A,,,,68.016796,24.14758,2026-09-14,
40D,,,,68.016436,24.146955,2026-09-14,
40C,,,,68.016513,24.146854,2026-09-14,
40B,,,,68.016501,24.146496,2026-09-14,
40A,,,,68.016375,24.14678,2026-09-14,
39D,,,,68.01606,24.146183,2026-09-14,
39C,,,,68.015986,24.145903,2026-09-14,
39B,,,,68.016047,24.145659,2026-09-14,
39A,,,,68.016112,24.145886,2026-09-14,
MSextra2,,,,68.01717,24.17458,2026-09-14,
MSextra1,,,,68.01764,24.173687,2026-09-14,
MS2,,,,68.018737,24.174442,2026-09-14,
MS1,,,,68.018361,24.173963,2026-09-14,
37D,,,,68.016714,24.144185,2026-09-14,
37C,,,,68.016784,24.144178,2026-09-14,
37B,,,,68.016829,24.143871,2026-09-14,
37A,,,,68.016756,24.143627,2026-09-14,
33D,,,,68.016934,24.142833,2026-09-14,
33C,,,,68.016885,24.142543,2026-09-14,
33B,,,,68.016785,24.142574,2026-09-14,
33A,,,,68.01673,24.142766,2026-09-14,
32D,,,,68.01629,24.142415,2026-09-14,
32C,,,,68.016304,24.142751,2026-09-14,
32B,,,,68.016149,24.142686,2026-09-14,
32A,,,,68.016149,24.142407,2026-09-14,
31D,,,,68.015602,24.141649,2026-09-14,
31C,,,,68.015671,24.141304,2026-09-14,
31B,,,,68.015548,24.141108,2026-09-14,
31A,,,,68.01547,24.141515,2026-09-14,
35D,,,,68.015236,24.14308,2026-09-14,
35C,,,,68.015334,24.142698,2026-09-14,
35B,,,,68.015433,24.142751,2026-09-14,
35A,,,,68.015347,24.143162,2026-09-14,
35D [duplicate ID],,,,68.01567,24.143637,2026-09-14,
35C [duplicate ID],,,,68.015787,24.143321,2026-09-14,
35B [duplicate ID],,,,68.015791,24.14351,2026-09-14,
35A [duplicate ID],,,,68.01585,24.143826,2026-09-14,
36A,,,,68.016411,24.144261,2026-09-14,
36C,,,,68.016246,24.14388,2026-09-14,
36B,,,,68.016341,24.144072,2026-09-14,
60D,,,,68.034407,24.144669,2026-09-14,
60C,,,,68.034473,24.144908,2026-09-14,
60B,,,,68.034357,24.145089,2026-09-14,
60A,,,,68.034252,24.144759,2026-09-14,
59D,,,,68.033824,24.145386,2026-09-14,
59C,,,,68.033807,24.145776,2026-09-14,
59A,,,,68.033661,24.145542,2026-09-14,
58C,,,,68.03336,24.146065,2026-09-14,
58B,,,,68.03324,24.146235,2026-09-14,
